"STATISTIC","Statistic Label","C02407V02905","Building Sector","C01989V02424","Type of Purchases","TLIST(A1)","Year","UNIT","VALUE"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23212","Motor fuel - auto diesel","2006","2006","Euro Thousand","2443"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23212","Motor fuel - auto diesel","2007","2007","Euro Thousand","3513"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23213","Motor fuel - LPG (for vehicles)","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23213","Motor fuel - LPG (for vehicles)","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23213","Motor fuel - LPG (for vehicles)","2007","2007","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","2322","All fuel oil for stationary uses","2005","2005","Euro Thousand","162"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","2322","All fuel oil for stationary uses","2006","2006","Euro Thousand","194"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","2322","All fuel oil for stationary uses","2007","2007","Euro Thousand","202"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23221","Fuel oil for stationary uses - gas, oil and diesel","2005","2005","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23221","Fuel oil for stationary uses - gas, oil and diesel","2006","2006","Euro Thousand",""
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23221","Fuel oil for stationary uses - gas, oil and diesel","2007","2007","Euro Thousand","139"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23222","Fuel oil for stationary uses - kerosene","2005","2005","Euro Thousand","47"
"BAA07","Purchases in Building and Construction Industry (New Basis)","454","Building completion (454)","23222","Fuel oil for stationary uses - kerosene","2006","2006","Euro Thousand","57"
